mag_r,u-g,g-r,r-i,i-z,z_spec
-0.0010689999999999999,0.205242,0.12368499999999999,-0.6238020000000001,-0.354959,0.309728
-0.803132,0.288078,-0.034323,-0.788032,-0.226733,0.192485
0.719985,-0.145673,0.273773,0.28004,0.240535,0.5012270000000001
0.12345999999999999,0.125441,0.7642100000000001,0.004455,0.214927,0.41741300000000003
-0.46058699999999997,0.154061,0.531853,-0.47497,-0.112996,0.309629
0.798307,-0.662684,0.579706,-1.31473,-0.161512,0.424976
0.5437350000000001,0.193091,0.0743,0.272296,-0.406542,0.48911899999999997
0.059125,-0.6825060000000001,0.6300319999999999,-0.255373,-0.109758,0.379729
-0.691104,-0.02878,0.149203,-0.614052,-0.164235,0.238042
-0.800038,0.103039,0.37648200000000004,-0.526092,-0.22372899999999998,0.26644
-0.193805,-0.503165,0.706259,-0.417761,-0.35081599999999996,0.343993
-0.8463120000000001,0.081013,-0.037895,-0.620404,-0.164329,0.193707
0.024684,0.127801,0.697121,-0.18975999999999998,-0.145564,0.347523
-0.801048,0.269131,-0.079973,-0.69076,-0.001842,0.19909200000000002
-0.892964,0.07467599999999999,0.096065,-0.594173,-0.26312399999999997,0.21815700000000002
-0.20310699999999998,0.29036,0.5323640000000001,-0.419416,0.092054,0.28033600000000003
-0.741636,-0.033583999999999996,0.13883199999999998,-0.49908900000000006,0.028479,0.214892
-1.101703,-0.031226999999999998,0.165219,-0.5144880000000001,-0.24232199999999998,0.224665
0.26215700000000003,-0.12554200000000001,1.000117,-0.232605,0.34068000000000004,0.35794899999999996
0.34894899999999995,0.125553,1.11225,0.122295,0.12831199999999998,0.436592
0.21655300000000002,0.11070899999999999,0.849613,-0.204293,-0.063622,0.377352
-0.8576459999999999,0.07247100000000001,0.069441,-0.634446,-0.199791,0.21988600000000003
-0.893241,0.098719,0.018650999999999997,-0.628434,-0.176516,0.207191
-0.378927,-0.275865,0.720057,-0.313916,-0.14153,0.341498
-0.319971,-0.001213,1.04067,-0.064545,-0.0058130000000000005,0.39615100000000003
0.304183,0.102703,0.9014059999999999,0.103077,0.274882,0.457542
0.037255,0.176018,0.748224,-0.312056,-0.368286,0.38314499999999996
-0.617132,-0.010309,0.199723,-0.344819,-0.06464400000000001,0.22817600000000002
-0.218667,-0.396704,1.21141,-0.18711,-0.215544,0.376663
-0.61578,-0.13203299999999998,0.18961,-0.566557,-0.353017,0.25042
