z_spec,mag_r,u-g,g-r,r-i,i-z
0.42307,-0.185223,-0.363589,0.568174,0.060051,0.276325
0.18443900000000002,-0.867288,0.127532,-0.175284,-0.586471,-0.057652999999999996
0.187223,-0.9050219999999999,-0.064343,-0.194626,-0.753555,-0.48590900000000004
0.19951300000000002,-0.5644239999999999,-0.517192,-0.10480199999999999,-0.624533,-0.169939
0.453838,0.8503719999999999,0.284758,0.640834,0.296994,-0.431674
0.45572799999999997,0.8711639999999999,0.203779,0.528573,0.25085599999999997,0.48505699999999996
0.41233100000000006,0.24285199999999998,-0.331313,0.746152,0.153292,0.155808
0.197679,-1.2032180000000001,0.08027100000000001,0.007422,-0.599244,0.084384
0.399403,-0.091882,-0.010125,0.851583,-0.214879,0.255196
0.342418,0.139789,-0.741776,0.727543,-0.18326800000000001,-0.37201599999999996
0.324177,-0.840609,0.274885,0.776085,-0.374494,-0.100863
0.44905500000000004,0.25009899999999996,-0.24900799999999998,0.896893,0.167001,0.21174400000000002
0.447482,0.205161,-0.39714499999999997,0.745324,0.20996399999999998,0.251708
0.461628,0.589762,0.072439,1.0799969999999999,0.345343,-0.12321700000000001
0.477209,0.838476,0.148855,-0.031762,0.33624899999999996,0.525896
0.4693,0.501401,-0.6128680000000001,1.135065,0.326833,0.07434199999999999
0.507922,0.33110500000000004,-0.1306,0.117629,0.204612,-0.078837
0.377565,-0.28512,-0.055644000000000006,0.7845449999999999,-0.107326,0.045129
0.422785,0.612317,-0.12450599999999999,0.04224,0.257786,0.411659
0.203483,-0.7147180000000001,0.123126,-0.17564100000000002,-0.49590200000000006,0.021987
0.45131000000000004,0.5982069999999999,-0.633684,0.492832,0.303667,0.035579
0.18835,-1.549136,0.221823,-0.106476,-0.602908,-0.004612
0.34833000000000003,-0.031843,-0.026907,0.679395,-0.18998800000000002,0.026325
0.334975,-0.435917,0.138672,0.705263,-0.196181,-0.351729
0.25882,-0.68438,0.038893000000000004,0.308963,-0.385314,-0.274266
0.535014,0.8109310000000001,0.047496,0.16026500000000002,0.24926500000000001,-0.25963600000000003
0.367699,-0.020908000000000003,-0.11657200000000001,0.916702,-0.1615,0.27226
0.430954,0.8186060000000001,-0.455574,0.8173199999999999,0.17523,0.155839
0.283592,-0.648386,-0.097771,0.48337700000000006,-0.46727399999999997,0.071112
0.460003,0.9793040000000001,0.24138,0.782141,0.257482,0.241877
0.322811,-0.245223,0.290953,0.569991,-0.447454,-0.008419
0.42430100000000004,-0.111847,0.240579,1.2411020000000001,0.015082,0.12720399999999998
0.351813,-0.08018,-0.023337,0.506108,-0.224435,-0.22640500000000002
0.154,-1.031461,0.19064,-0.22889299999999999,-0.577207,0.055670000000000004
0.203292,-0.732173,0.201951,0.011807,-0.573745,-0.090572
0.5053770000000001,0.703378,-0.5238649999999999,-0.009373999999999999,0.25461100000000003,0.359601
0.25103600000000004,-0.6569699999999999,0.280814,0.18304700000000002,-0.61838,-0.08912
0.42668199999999995,0.239197,-0.319218,0.704224,-0.016108,-0.019452
0.25791,-0.68633,0.190138,0.293746,-0.551012,-0.131254
0.304371,0.02806,-0.017072,-0.17843599999999998,0.277566,0.078657
0.393219,0.16773,-0.27699,0.902493,-0.014962,-0.50341
0.428882,0.300101,-0.302306,1.012783,-0.21287899999999998,0.284057
0.33368600000000004,-0.092149,0.181542,0.819724,-0.106425,0.14236400000000002
0.44769499999999995,0.38518600000000003,0.289177,0.659239,0.25621900000000003,0.057723000000000003
0.43879300000000004,0.337449,0.29109,0.8074439999999999,0.048868,0.032123
0.47537399999999996,0.545954,-0.40124699999999996,0.413547,-0.8871100000000001,-0.372827
0.336811,0.26098000000000005,0.143173,1.268131,-0.419808,-0.278417
0.328351,0.027233999999999998,0.141549,0.811589,-0.43139399999999994,0.092849
0.33715700000000004,-0.158378,0.187247,0.7643409999999999,-0.347691,0.112426
0.22414299999999998,-0.709598,-0.040107,0.051112,-0.586167,-0.189102
0.331354,0.06957999999999999,-0.031117000000000002,0.580928,-0.152376,-0.292297
0.332341,-0.210643,0.253558,0.696278,-0.269907,-0.21643400000000002
0.364413,-0.147047,0.186005,0.9713,-0.378091,-0.551411
0.306081,-0.679836,0.24711799999999998,0.536428,-0.344661,0.071478
0.453396,0.490378,0.097849,0.438957,0.289742,-0.08230900000000001
0.21041300000000002,-0.712585,0.214692,-0.010895,-0.347989,0.182289
0.398456,0.017369,0.188357,0.724792,-0.18581199999999998,-0.030968
